# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 300  of event 'cycles:ppp'
# Event count (approx.): 3816667444
#
# Children      Self  Command          Shared Object      Symbol                                                                                         
# ........  ........  ...............  .................  ..........................................................................................................................................
#
     0.00%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] __wait_on_bit_lock                                                                                                                    
     0.00%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] bit_wait_io                                                                                                                           
     0.00%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] io_schedule_timeout                                                                                                                   
     0.00%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] schedule                                                                                                                              
     0.00%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] schedule_timeout                                                                                                                      
     0.00%     0.00%  perf_4.4         [kernel.kallsyms]  [k] perf_event_exec                                                                                                                       
     0.00%     0.00%  perf_4.4         [kernel.kallsyms]  [k] do_execve                                                                                                                             
     0.00%     0.00%  perf_4.4         [kernel.kallsyms]  [k] do_execveat_common                                                                                                                    
     0.00%     0.00%  perf_4.4         [kernel.kallsyms]  [k] load_elf_binary                                                                                                                       
     0.00%     0.00%  perf_4.4         [kernel.kallsyms]  [k] ret_fast_syscall                                                                                                                      
     0.00%     0.00%  perf_4.4         [kernel.kallsyms]  [k] search_binary_handler                                                                                                                 
     0.00%     0.00%  perf_4.4         [kernel.kallsyms]  [k] setup_new_exec                                                                                                                        
     0.00%     0.00%  perf_4.4         [kernel.kallsyms]  [k] sys_execve                                                                                                                            
     0.00%     0.00%  perf_4.4         [unknown]          [k] 0x769a7820                                                                                                                            


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
